ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
0C2CE5221F4DBEBF,electric_bike,31:12.7,43:29.5,Pine Grove Ave & Waveland Ave,TA1307000150,Clark St & Winnemac Ave,TA1309000035,41.94927776,-87.64632261,41.973347640473044,-87.66785547,member
1B38A4C32086A326,classic_bike,42:29.3,49:53.6,Paulina St & Montrose Ave,TA1309000021,Clark St & Winnemac Ave,TA1309000035,41.961507,-87.671387,41.973347640473044,-87.66785547,member
72984FA0A890A578,electric_bike,17:46.8,29:29.0,Clinton St & Washington Blvd,WL-012,May St & Taylor St,13160,41.88338,-87.64117,41.869375,-87.65544,casual
A59CFB7126A7A4CB,classic_bike,38:57.9,47:58.9,Leavitt St & Division St,658,Ashland Ave & Division St,13061,41.902997,-87.683825,41.90301,-87.66877,member
09254D152A9E4DC6,classic_bike,46:35.5,56:43.5,Clark St & Grace St,TA1307000127,Clark St & Winnemac Ave,TA1309000035,41.95078,-87.659172,41.973347640473044,-87.66785547,casual
4D121F4760675508,classic_bike,06:08.8,24:44.6,Clark St & North Ave,13128,Ashland Ave & Division St,13061,41.911974,-87.631942,41.90301,-87.66877,casual
0C64F6466407A7BC,electric_bike,20:28.7,35:16.4,Sedgwick St & Webster Ave,13191,Ashland Ave & Division St,13061,41.922167,-87.638888,41.90301,-87.66877,casual
4EE4EC97CEEFB743,classic_bike,09:54.4,19:41.7,Clark St & Grace St,TA1307000127,Clark St & Winnemac Ave,TA1309000035,41.95078,-87.659172,41.973347640473044,-87.66785547,casual
9BBCAB5D9EEC8A16,electric_bike,16:31.6,21:28.6,Wabash Ave & Cermak Rd,TA1305000001,Calumet Ave & 21st St,15546,41.852619,-87.626488,41.85418425,-87.61915374,casual
0CD1CA0BAEB48E56,electric_bike,30:17.4,46:47.5,Sedgwick St & Webster Ave,13191,Clinton St & Lake St,13021,41.922167,-87.638888,41.885637,-87.641823,casual
420C847D567AC763,electric_bike,49:04.8,58:14.4,Clark St & Newport St,18001,Clark St & Winnemac Ave,TA1309000035,41.94454,-87.654678,41.973347640473044,-87.66785547,member
C65D17B6EA38008F,electric_bike,40:32.6,50:09.5,Delano Ct & Roosevelt Rd,KA1706005007,Blue Island Ave & 18th St,13135,41.867491,-87.63219,41.857556,-87.661535,member
895EDFB504AC938E,electric_bike,59:19.6,07:56.7,Clark St & Newport St,18001,Clark St & Winnemac Ave,TA1309000035,41.94454,-87.654678,41.973347640473044,-87.66785547,member
6B584C1B8CE2C8E1,electric_bike,48:16.8,57:27.7,Clark St & Newport St,18001,Clark St & Wrightwood Ave,TA1305000014,41.94454,-87.654678,41.929546,-87.643118,casual
75B5D7A61F2CED66,electric_bike,19:15.6,34:27.7,Racine Ave & Congress Pkwy,TA1306000025,Ogden Ave & Roosevelt Rd,KA1504000101,41.87464,-87.65703,41.86650148,-87.68469707,member
EB3B013455058A17,electric_bike,56:47.7,08:35.9,Wentworth Ave & 35th St,KA1503000005,Calumet Ave & 21st St,15546,41.830777,-87.632504,41.85418425,-87.61915374,casual
61AB0C84CEBDC267,classic_bike,44:14.0,53:36.6,Field Blvd & South Water St,15534,Dearborn St & Monroe St,TA1305000006,41.88634906,-87.61751655,41.88131982,-87.62952092,member
71DEC4DAA92D9052,classic_bike,42:08.4,52:54.3,Milwaukee Ave & Rockwell St,13242,Wood St & Milwaukee Ave,13221,41.92033,-87.69309,41.907655,-87.672552,member
3B0564AA48A66501,electric_bike,02:19.4,20:50.8,Paulina Ave & North Ave,TA1305000037,Dearborn St & Monroe St,TA1305000006,41.90985465216731,-87.66993016,41.88131982,-87.62952092,member
E3B666025EE38E1A,classic_bike,32:06.7,51:02.8,Theater on the Lake,TA1308000001,Lakefront Trail & Bryn Mawr Ave,15576,41.926277,-87.630834,41.98404411519213,-87.65228122,member
76172D7E5BAFA8DA,classic_bike,26:44.2,54:00.1,Theater on the Lake,TA1308000001,Michigan Ave & Washington St,13001,41.926277,-87.630834,41.88398406,-87.62468398,member
9CBEEB379721C669,classic_bike,45:13.4,55:33.9,Broadway & Sheridan Rd,13323,Broadway & Argyle St,13108,41.952833,-87.649993,41.97423,-87.6597735,member
A2A96FFB20E995FC,classic_bike,45:14.6,57:31.4,Broadway & Sheridan Rd,13323,Broadway & Argyle St,13108,41.952833,-87.649993,41.97423,-87.6597735,member
A8F7F33BE67DDB7D,classic_bike,25:56.1,01:33.0,Theater on the Lake,TA1308000001,Lakefront Trail & Bryn Mawr Ave,15576,41.926277,-87.630834,41.98404411519213,-87.65228122,casual
42DFA7C97E920531,classic_bike,26:07.3,01:09.1,Theater on the Lake,TA1308000001,Lakefront Trail & Bryn Mawr Ave,15576,41.926277,-87.630834,41.98404411519213,-87.65228122,casual
BBF3A7B93E973FEA,electric_bike,53:38.3,02:42.4,Francisco Ave & Montrose Ave,446,California Ave & Fletcher St,15642,41.9610471,-87.700901,41.93842879,-87.69800776,member
897C9C50EDFB99E4,electric_bike,40:44.8,07:08.8,Francisco Ave & Montrose Ave,446,Lakefront Trail & Bryn Mawr Ave,15576,41.9610471,-87.700901,41.98404411519213,-87.65228122,casual
1CB4254D8C3E55F8,classic_bike,40:26.5,46:07.1,Canal St & Madison St,13341,Michigan Ave & Washington St,13001,41.882409,-87.639767,41.88398406,-87.62468398,member
